43,1,2,7
2,1,43,3
3,4,5,3
4,5,6,5
5,4,3,7
5,6,7,5
6,5,4,5
6,7,8,3
7,6,5,5
7,8,9,5
8,7,6,7
8,9,10,5
9,8,7,5
9,10,11,5
10,9,8,5
10,11,12,5
11,10,9,5
11,12,13,5
12,11,10,5
12,13,14,5
13,12,11,5
13,14,15,5
14,13,12,5
15,14,13,5
15,16,17,5
16,17,18,5
17,16,15,5
17,18,19,5
18,17,16,5
18,19,20,7
19,18,17,5
19,20,21,5
20,19,18,3
20,21,22,5
21,20,19,5
21,22,23,3
22,21,20,5
22,23,24,5
23,22,21,7
23,24,25,5
24,23,22,5
24,25,26,5
25,24,23,5
25,26,27,7
26,25,24,5
26,27,28,5
27,26,25,3
27,28,29,5
28,27,26,5
28,29,30,5
29,28,27,5
29,30,31,5
30,29,28,5
30,31,32,3
31,30,29,5
32,31,30,7
33,34,35,7
34,35,36,3
35,34,33,3
36,35,34,7
37,38,39,5
38,39,40,3
39,40,41,7
39,38,37,5
40,39,38,7
41,40,39,3
42,37,38,5
38,37,42,5
